partner;marriage;parting;divorce;education;work;separation;children
23;;27;;15;21;19;24
;28;;;23;27;18;30
;30;;;19;19;19;30
25;32;32;33;31;24;18;27
;24;;;19;21;24;24
;22;;;18;18;21;23
;20;;;20;23;25;24
